I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
0.79337287,16442106.0,1052.9609,19.613964,1.6466209,0.19006258,0.034626015,0.0037827478,1.7033812,1559.5807,2.9700465,0.3111742,215.12134,2.9700465,0.3111742,215.12134,32.687344
1.059325,23148458.0,2753.2844,49.256176,0.72936857,0.05817353,0.025053494,0.005162289,0.74155915,508.36597,10.0,10.0,0.0,10.0,10.0,0.0,22.83974
1.4139148,37858660.0,0.0,188.02824,1.1456748,0.17258874,0.038220122,0.007422047,1.2116483,543.6854,5.9283385,4.1024075,233.35098,5.9283385,4.1024075,233.35098,58.755154
9.206873,257366200.0,79135.92,3281.815,1.8983325,0.19250518,0.15711017,0.012602573,1.9491749,545.8452,0.76822346,3.7375581,494.9029,6.1306424,0.23099796,71.9447,15.925503
0.9597558,24093840.0,-9.094947e-13,48.922455,1.9668787,0.17404714,0.057071157,0.00488534,2.0072095,1408.6127,10.0,10.0,0.0,10.0,10.0,0.0,10.320502
15.826913,297067300.0,107685.22,6536.7725,2.3920643,0.706545,0.168224,0.016562255,2.8677304,611.34174,2.4444172,2.2543106,142.88889,4.2264953,8.504142,756.87604,42.540417
1.9009621,55729028.0,688.51013,138.71974,1.1863494,0.1550433,0.06630997,0.005653315,1.2383592,784.90704,2.8646889,7.813545,685.40594,0.22594287,5.7008824,750.6682,45.713623
3.4422724,63450704.0,-284.31516,162.30643,1.1181501,0.21234071,0.093725026,0.0056147138,1.2178853,761.47687,10.0,10.0,0.0,10.0,10.0,0.0,38.12463
2.0634518,31604698.0,1741.7417,192.02017,1.0613582,0.10539921,0.032826856,0.008543547,1.0886437,441.66006,4.5292306,4.683417,28.535284,2.0186298,4.245189,138.16774,26.12264
4.8145056,80602470.0,3.637979e-12,411.56793,2.9931235,0.23806497,0.11359756,0.0076539936,3.042877,1346.5974,4.974423,6.610954,679.3581,4.974423,6.610954,679.3581,11.149917
4.736384,248038690.0,-13472.323,2707.0884,1.8305457,0.17916857,0.15190232,0.011869764,1.8762894,567.94763,6.5334845,1.0880113,309.47714,3.8651915,7.4297895,209.75682,20.154896
3.0907538,97546000.0,-9842.255,582.34265,2.558092,0.22126555,0.09898162,0.008736599,2.6082492,1067.4917,9.536152,6.9288816,998.0875,7.243293,8.251306,766.04395,14.860742
0.27551574,15248915.0,582.8284,6.5455294,0.5518675,0.043477558,0.037713904,0.002269174,0.5608701,856.0702,0.68162394,1.511032,73.64178,0.68162394,1.511032,73.64178,35.471973
1.2778134,29886562.0,3532.3816,41.120934,1.8792441,0.22325183,0.061754618,0.004047308,1.9477484,1660.5018,10.0,10.0,0.0,10.0,10.0,0.0,14.898785
2.2370014,45868024.0,-1.8189894e-12,165.72949,2.5909777,0.21802911,0.11251428,0.0063660387,2.6391034,1388.3901,3.1775033,0.92190117,53.439255,3.1775033,0.92190117,53.439255,13.145904
5.697783,226202050.0,5.820766e-11,5137.2773,2.4947062,0.39197472,0.10306291,0.016145242,2.650367,556.1447,9.468067,8.501532,948.73224,9.468067,8.501532,948.73224,28.39632
1.396621,64595820.0,7317.584,100.60491,1.0825554,0.1676447,0.07526823,0.004481787,1.1482637,920.0983,7.955441,1.9150965,685.7062,8.360001,1.9114103,848.7519,65.636475
0.701693,9916844.0,0.0,11.853012,1.2707622,0.09899841,0.04511292,0.0036788932,1.2910391,1180.8962,10.0,10.0,1000.0,10.0,10.0,1000.0,24.260355
4.8570995,139297570.0,-952.2006,1364.1805,2.6881785,0.8142487,0.0715598,0.01083312,3.2468202,1037.5143,7.7991853,5.591785,677.78296,6.6595445,9.066015,924.7065,41.60636
1.3380545,27036800.0,-3.637979e-12,121.00038,2.8787599,0.44605023,0.06591803,0.007099928,3.053676,1443.4683,10.0,10.0,1000.0,10.0,10.0,1000.0,25.835558
0.19972213,8177262.0,168.73439,7.2996173,1.2982954,0.12007924,0.017302232,0.0033841727,1.3273315,1404.861,7.4838066,9.360068,579.1682,4.9931693,8.923293,371.62195,32.884697
0.15888406,1672072.2,-2.842171e-14,0.5831515,0.89360136,0.111315474,0.011260514,0.00201068,0.9293108,1573.6124,10.0,10.0,1000.0,10.0,10.0,1000.0,66.85404
